Kabupaten/Kota,Tahun,ROKOK DAN TEMBAKAU,Rokok kretek filter,Rokok kretek tanpa filter,Rokok putih,Tembakau,Rokok dan tembakau Lainnya
Cianjur,2021,21012.79,13470.87,6944.19,261.43,318.18,18.11
Bandung,2021,20476.08,14099.13,5597.49,654.52,78.99,45.95
Garut,2021,19376.91,8636.64,8462.29,1801.27,434.5,42.21
Tasikmalaya,2021,18136.05,10050.64,6175.77,1553.99,299.75,55.89
Ciamis,2021,19333.73,8358.13,8731.59,1875.97,308.57,59.47
Kuningan,2021,23256.33,16819.29,5972.88,361.4,48.66,54.11
Cirebon,2021,17994.6,15533.0,1893.48,545.11,23.01,0.0
Majalengka,2021,20394.35,13581.81,4582.49,2041.43,142.51,46.11
Sumedang,2021,20110.25,11799.46,6694.8,1172.35,350.68,92.96
Indramayu,2021,23268.07,18456.53,4110.35,668.83,20.07,12.28
Subang,2021,24557.11,19530.37,4571.31,400.67,53.07,1.69
Purwakarta,2021,27906.01,20830.37,4442.75,2602.77,26.76,3.35
Karawang,2021,20165.15,16062.85,3969.89,124.8,7.61,0.0
Bekasi,2021,19202.59,16007.21,1751.67,1390.8,20.6,32.3
Bandung Barat,2021,23510.47,15853.57,6497.39,988.36,159.72,11.44
Pangandaran,2021,24014.35,12111.86,6972.74,4481.48,377.03,71.23
Kota Bogor,2021,19883.0,15593.31,1243.33,3040.18,6.18,0.0
Kota Sukabumi,2021,19719.71,13488.6,2514.03,3686.6,20.78,9.71
Kota Bandung,2021,21210.87,16591.25,2213.55,2262.22,70.29,73.55
Kota Cirebon,2021,13826.39,13254.62,469.31,35.55,26.3,40.59
Kota Bekasi,2021,17729.78,13994.03,928.7,2765.91,3.08,38.06
Kota Depok,2021,17200.79,12451.5,1082.96,3494.38,35.1,136.85
Kota Cimahi,2021,20595.98,15011.84,3602.27,1846.29,9.94,125.64
Kota Tasikmalaya,2021,17016.36,12825.49,3111.98,1027.0,48.79,3.09
Kota Banjar,2021,17357.2,11628.42,3818.03,1759.96,142.97,7.83
Cilacap,2021,15979.33,10158.09,4342.2,989.31,378.65,111.09
Banyumas,2021,14813.08,10640.27,2637.39,1063.22,345.17,127.03
Purbalingga,2021,14508.86,9755.55,3168.51,907.26,532.75,144.8
Banjarnegara,2021,17462.68,9229.74,4443.28,1523.2,1586.96,679.5
Kebumen,2021,12322.9,7812.64,2609.08,451.77,889.32,560.09
Purworejo,2021,11586.29,7923.31,2804.47,260.98,386.43,211.1
Wonosobo,2021,14319.53,8956.93,1257.69,1069.21,1928.04,1107.66
Magelang,2021,13368.29,9874.26,1417.75,627.35,1022.99,425.93
Boyolali,2021,14259.59,11796.98,1409.4,467.45,365.78,219.98
Klaten,2021,11096.6,8659.85,1504.48,818.73,73.97,39.57
Sukoharjo,2021,10184.57,9112.34,794.0,257.04,21.17,0.03
Wonogiri,2021,12948.14,9588.35,2189.18,950.05,205.99,14.56
Karanganyar,2021,11911.2,9715.68,1540.14,588.23,67.15,0.0
Sragen,2021,13864.3,11644.31,1847.76,286.74,85.21,0.28
Grobogan,2021,15365.63,13965.5,529.12,733.36,133.02,4.62
Blora,2021,15536.42,13996.68,1161.51,116.79,186.84,74.6
Rembang,2021,20099.05,17120.49,1275.1,1238.32,441.33,23.81
Pati,2021,16535.8,14916.07,940.25,655.67,23.42,0.38
Kudus,2021,14726.81,14132.87,428.62,158.38,4.71,2.23
Jepara,2021,17825.78,16111.32,536.99,1162.46,13.8,1.21
Demak,2021,19031.88,18007.62,920.5,72.68,31.08,0.0
Semarang,2021,14384.54,10785.19,1884.25,866.2,644.71,204.19
Temanggung,2021,8706.44,4390.99,499.9,250.47,2396.21,1168.86
Kendal,2021,11849.5,10125.94,503.59,278.66,620.87,320.45
Batang,2021,16365.34,14482.59,1039.67,439.08,207.03,196.97
Pekalongan,2021,15118.41,13034.57,1675.68,322.85,78.67,6.63
Pemalang,2021,16999.39,11935.55,4472.06,340.51,223.92,27.35
Tegal,2021,13827.09,11431.23,1817.6,335.95,32.88,209.43
Brebes,2021,19795.46,12977.82,6099.1,467.75,131.26,119.52
Kota Magelang,2021,12604.46,10336.11,763.7,1236.48,177.38,90.8
Kota Surakarta,2021,11815.85,10768.11,530.74,333.92,78.51,104.58
Kota Salatiga,2021,14671.48,12927.52,673.86,631.28,215.44,223.38
Kota Semarang,2021,13424.58,12137.9,637.9,548.06,84.51,16.21
Kota Pekalongan,2021,14175.15,13656.29,480.34,28.16,0.0,10.36
Kota Tegal,2021,18704.34,16268.71,1445.21,969.79,3.82,16.81
Kulon Progo,2021,8766.09,6235.71,1494.66,517.47,414.88,103.37
Bantul,2021,12223.41,9902.46,1112.64,703.16,178.92,326.24
Gunung Kidul,2021,10444.13,7580.96,1439.88,566.33,644.66,212.3
Sleman,2021,13226.65,10266.88,671.13,2062.77,197.7,28.17
Yogyakarta,2021,10010.68,7737.59,520.65,1475.3,118.04,159.1
Pacitan,2021,7245.44,2764.99,3364.26,312.16,556.61,247.42
Ponorogo,2021,10417.33,7310.96,2123.29,61.41,727.69,193.97
Trenggalek,2021,9782.66,6270.65,2024.93,849.29,411.41,226.38
Tulungagung,2021,13599.53,10615.19,2208.02,510.02,214.32,51.98
Blitar,2021,12787.99,11590.25,581.41,41.91,392.48,181.93
Kediri,2021,14071.64,12144.25,1436.29,179.7,215.99,95.42
Malang,2021,14788.63,12699.7,1696.73,230.93,142.95,18.34
Lumajang,2021,15144.91,10937.49,2432.26,105.46,1364.74,304.95
Jember,2021,12762.48,10403.43,1360.75,46.5,668.79,283.02
Banyuwangi,2021,16853.96,14458.49,990.3,698.77,562.42,143.97
Bondowoso,2021,14750.99,12549.18,616.52,77.12,1332.56,175.6
Situbondo,2021,18187.56,14488.34,2361.07,212.21,1050.23,75.71
Probolinggo,2021,13840.81,9867.12,2177.83,122.33,1364.22,309.3
Pasuruan,2021,17719.59,16473.46,907.65,166.04,132.62,39.82
Sidoarjo,2021,15584.98,14502.92,179.89,865.18,29.65,7.34
Mojokerto,2021,20163.32,18979.71,677.51,462.9,41.34,1.86
Jombang,2021,15176.52,13800.81,1035.45,178.69,150.05,11.52
Nganjuk,2021,14195.32,12362.46,1538.48,130.42,152.05,11.92
Madiun,2021,11592.89,9214.64,1923.7,124.44,256.68,73.43
Magetan,2021,12403.96,9970.42,2060.38,197.65,166.22,9.29
Ngawi,2021,13176.16,10694.81,2105.57,176.5,170.12,29.15
Bojonegoro,2021,16499.98,14729.86,1447.53,59.32,190.79,72.47
Tuban,2021,14529.68,12822.68,891.01,345.77,386.88,83.34
Lamongan,2021,21179.46,18259.84,1998.36,744.25,139.98,37.03
Gresik,2021,18294.58,17090.24,905.99,252.59,9.78,35.98
Bangkalan,2021,18993.71,15490.97,3083.13,341.34,28.85,49.43
Sampang,2021,17521.01,16063.99,1319.42,83.85,43.42,10.34
Pamekasan,2021,17598.78,16106.86,1451.58,12.2,5.52,22.62
Sumenep,2021,24106.69,21031.08,2766.57,179.67,129.36,0.0
Kota Kediri,2021,13540.86,11770.3,1516.29,67.44,108.29,78.54
Kota Blitar,2021,13297.19,12450.03,516.16,211.92,88.0,31.08
Malang,2021,15291.19,13484.34,668.47,910.34,4.18,223.86
Kota Probolinggo,2021,11654.62,9423.27,986.61,764.18,363.9,116.66
Kota Pasuruan,2021,14977.06,14160.58,288.44,497.45,1.97,28.62
Kota Mojokerto,2021,12821.87,11530.38,1159.28,80.95,51.26,0.0
Kota Madiun,2021,12789.03,10967.32,1277.94,451.51,36.32,55.94
Kota Surabaya,2021,16719.02,15347.67,888.47,412.27,41.93,28.69
Kota Batu,2021,16974.82,15773.81,891.62,223.32,79.89,6.2
Pandeglang,2021,26865.53,17884.38,7820.02,906.21,39.71,215.2
Lebak,2021,30722.54,21492.32,7969.62,1039.24,106.89,114.46
Tangerang,2021,23737.86,18881.61,4047.98,804.74,0.0,3.54
Serang,2021,27175.07,22041.41,4790.69,275.26,24.61,43.09
Kota Tangerang,2021,22820.79,19632.38,1292.95,1689.39,35.36,170.72
Kota Cilegon,2021,23898.62,18587.89,2603.23,2609.48,0.0,98.02
Kota Serang,2021,27415.04,23374.27,2263.17,1775.55,2.06,0.0
Kota Tangerang Selatan,2021,18183.08,14688.0,1371.75,2101.56,11.56,10.22
Jembrana,2021,14990.82,11407.63,819.4,2563.36,128.59,71.85
Tabanan,2021,14074.0,8161.36,688.58,5175.06,21.32,27.67
Badung,2021,12909.72,9549.63,409.36,2811.5,127.89,11.33
Gianyar,2021,9605.42,6126.56,536.24,2864.58,47.62,30.42
Klungkung,2021,7588.12,5709.33,157.08,1566.39,137.23,18.09
Bangli,2021,10163.26,8168.81,367.74,1412.04,107.94,106.73
Karangasem,2021,7572.06,5634.35,518.72,1328.07,60.67,30.26
Buleleng,2021,9673.11,6799.89,796.44,1909.69,83.72,83.37
Kota Denpasar,2021,13296.09,10569.46,763.94,1889.48,54.82,18.4
Lombok Barat,2021,15459.59,12422.38,481.97,1082.53,1265.67,207.03
Lombok Tengah,2021,17832.0,13872.28,605.39,552.67,2310.18,491.48
Lombok Timur,2021,10534.86,7237.81,143.07,366.2,2387.03,400.74
Sumbawa,2021,21652.7,17496.1,2215.13,1360.56,376.15,204.76
Dompu,2021,19203.59,16852.61,1870.39,248.81,207.61,24.15
Bima,2021,18194.04,14247.59,2057.85,1642.31,180.1,66.19
Sumbawa Barat,2021,19531.53,17899.6,425.91,730.73,348.78,126.51
Lombok Utara,2021,10440.37,7513.09,158.52,94.85,2244.48,429.43
Kota Mataram,2021,17548.84,14422.69,639.25,2122.41,258.48,106.0
Kota Bima,2021,21170.62,18391.83,1661.35,1106.16,2.82,8.46
Sumba Barat,2021,12740.01,9920.16,1204.76,71.11,222.87,1321.12
Sumba Timur,2021,13114.44,6295.35,4447.52,272.9,236.44,1862.23
Kupang,2021,6997.74,3536.11,1613.8,6.95,126.61,1714.26
Timor Tengah Selatan,2021,9329.15,1591.09,2549.47,512.29,458.53,4217.78
Timor Tengah Utara,2021,13711.26,7767.36,3351.67,43.87,175.69,2372.67
Belu,2021,9770.9,5220.33,1293.21,733.63,346.46,2177.27
Alor,2021,14029.55,6592.65,4257.96,21.9,324.68,2832.35
Lembata,2021,12371.07,11157.05,446.97,86.97,103.5,576.58
Flores Timur,2021,12302.68,10671.4,588.78,689.95,92.93,259.62
Sikka,2021,9406.3,8493.49,190.71,174.62,383.28,164.2
Ende,2021,11089.3,8525.28,305.21,1348.18,42.95,867.68
Ngada,2021,13941.95,11186.88,315.25,1630.68,90.4,718.74
Manggarai,2021,14501.05,13751.95,50.04,232.75,106.11,360.2
Rote Ndao,2021,8960.38,5701.49,630.39,665.08,975.76,987.66
Manggarai Barat,2021,15082.71,14587.84,329.4,107.75,15.21,42.51
Sumba Tengah,2021,11973.78,8352.62,1612.77,87.07,372.7,1548.63
Sumba Barat Daya,2021,11932.85,7701.0,1617.14,77.34,221.8,2315.56
Nagekeo,2021,11422.48,10764.73,200.41,13.53,57.18,386.64
Manggarai Timur,2021,11135.73,8617.73,525.95,884.59,459.38,648.09
Sabu Raijua,2021,13005.09,8771.99,1085.78,1096.82,553.09,1497.41
Malaka,2021,8276.13,3968.98,1146.77,546.87,285.31,2328.21
Kota Kupang,2021,11045.3,8930.86,896.52,919.22,0.0,298.71
Sambas,2021,14234.33,12877.06,880.39,435.01,33.06,8.8
Bengkayang,2021,18915.6,14952.81,1635.7,2060.67,216.99,49.42
Landak,2021,19647.03,17554.82,1036.98,686.05,289.37,79.81
Mempawah,2021,17619.5,14909.54,237.0,2462.29,10.25,0.43
Sanggau,2021,18669.61,15287.54,1149.77,1873.46,324.57,34.27
Ketapang,2021,22800.08,19399.8,2690.2,698.71,0.0,11.38
Sintang,2021,21469.72,17650.83,1611.98,1825.11,316.06,65.73
Kapuas Hulu,2021,19520.01,17662.25,965.04,763.61,111.96,17.15
Sekadau,2021,14684.04,13212.12,664.46,501.16,297.06,9.25
Melawi,2021,22542.54,18887.35,873.93,2188.27,175.86,417.13
Kayong Utara,2021,19546.11,17735.37,1312.12,397.19,39.01,62.41
Kubu Raya,2021,17434.12,15360.63,1168.88,842.73,52.48,9.4
Kota Pontianak,2021,16401.5,15230.51,698.46,340.13,0.0,132.39
Kota Singkawang,2021,17613.63,13212.91,1754.57,2509.23,50.88,86.04
Kotawaringin Barat,2021,24633.7,19270.15,2188.67,2938.37,122.08,114.43
Kotawaringin Timur,2021,23060.65,21582.99,1123.91,338.16,13.21,2.38
Kapuas,2021,16141.76,15415.18,560.25,131.03,30.28,5.03
Barito Selatan,2021,16860.37,16434.11,377.3,0.0,30.15,18.81
Barito Utara,2021,21136.57,19698.2,512.73,869.48,38.19,17.98
Sukamara,2021,28363.08,23822.64,3793.76,661.38,65.43,19.87
Lamandau,2021,28824.29,26458.62,1270.19,821.87,130.25,143.37
Seruyan,2021,29886.88,28845.49,956.97,13.54,70.88,0.0
Katingan,2021,24301.82,22611.0,1246.23,0.0,35.59,409.01
Pulang Pisau,2021,23484.97,22183.76,902.74,58.3,255.7,84.47
Gunung Mas,2021,28088.26,25344.06,2540.99,0.0,9.58,193.63
Barito Timur,2021,16081.71,15166.99,791.06,0.0,123.67,0.0
Murung Raya,2021,18875.0,14676.21,3123.09,970.78,103.16,1.77
Kota Palangka Raya,2021,14884.65,13805.57,303.87,696.34,1.1,77.78
Tanah Laut,2021,19941.4,18750.15,1131.13,13.77,28.81,17.54
Kota Baru,2021,22975.62,19990.9,2115.56,792.71,69.58,6.88
Banjar,2021,18899.31,18665.26,219.7,0.0,5.4,8.94
Barito Kuala,2021,16382.36,15028.84,791.47,562.05,0.0,0.0
Tapin,2021,17027.5,16853.37,147.74,0.0,8.57,17.81
Hulu Sungai Selatan,2021,13618.17,13223.98,360.22,0.0,0.0,33.97
Hulu Sungai Tengah,2021,14073.6,13755.36,216.95,97.25,0.0,4.04
Hulu Sungai Utara,2021,11530.11,11378.43,151.67,0.0,0.0,0.0
Tabalong,2021,16138.79,14991.99,693.21,430.71,0.0,22.87
Tanah Bumbu,2021,19318.13,17717.36,1364.05,199.78,34.43,2.51
Balangan,2021,18091.67,17865.72,95.51,0.0,4.52,125.93
Kota Banjarmasin,2021,17428.63,15886.97,1061.08,380.96,0.0,99.61
Kota Banjar Baru,2021,19092.49,16026.5,1097.77,1911.26,28.43,28.52
Paser,2021,17487.36,16617.23,392.87,412.28,25.94,39.03
Kutai Barat,2021,20529.62,15021.05,1603.77,3758.43,7.75,138.62
Kutai Kartanegara,2021,19168.19,15748.42,898.79,2338.37,24.01,158.6
Kutai Timur,2021,26219.74,22133.18,1003.45,2979.13,6.63,97.35
Berau,2021,23165.74,22451.09,291.44,0.0,0.0,423.21
Penajam Paser Utara,2021,20780.05,17944.94,1297.33,1436.33,77.61,23.84
Mahakam Ulu,2021,28375.5,23335.64,611.46,2864.11,952.55,611.75
Kota Balikpapan,2021,18391.7,14336.22,956.61,2822.71,0.0,276.17
Kota Samarinda,2021,14145.9,13431.28,85.46,570.68,0.0,58.48
Kota Bontang,2021,17189.09,12954.9,772.41,3400.99,0.0,60.79
Malinau,2021,18722.95,11957.99,774.23,5632.56,243.16,115.0
Bulungan,2021,23537.46,20875.16,358.6,2230.91,68.49,4.3
Tana Tidung,2021,26857.45,24474.41,45.55,2318.68,17.61,1.21
Nunukan,2021,22685.12,19989.98,383.27,2188.77,118.96,4.14
Kota Tarakan,2021,16862.17,13943.91,73.23,2728.87,36.26,79.91
Bolaang Mongondow,2021,19291.59,17046.51,855.69,1109.4,276.21,3.77
Minahasa,2021,14345.88,12839.56,557.24,913.75,34.67,0.66
Kepulauan Sangihe,2021,11582.51,10783.8,354.48,386.25,57.98,0.0
Kepulauan Talaud,2021,14661.9,13754.46,0.0,607.78,281.13,18.53
Minahasa Selatan,2021,11727.4,10382.77,527.88,677.04,139.72,0.0
Minahasa Utara,2021,13753.71,12469.68,453.53,487.74,198.39,144.37
Bolaang Mongondow Utara,2021,24254.79,20516.93,528.19,2293.4,916.28,0.0
Siau Tagulandang Biaro,2021,12974.44,12322.14,13.88,469.81,158.37,10.24
Minahasa Tenggara,2021,17420.47,16076.5,409.87,874.66,59.45,0.0
Bolaang Mongondow Selatan,2021,17090.27,15879.17,311.63,283.4,563.29,52.78
Bolaang Mongondow Timur,2021,24892.11,23335.89,574.7,782.27,193.1,6.14
Kota Manado,2021,13382.6,11070.9,522.84,1764.56,24.3,0.0
Kota Bitung,2021,18591.37,15343.02,1841.64,1369.48,37.23,0.0
Kota Tomohon,2021,16632.82,15097.29,121.53,1385.49,28.51,0.0
Kota Kotamobagu,2021,23086.93,15708.4,493.28,6593.11,213.19,78.95
Banggai Kepulauan,2021,14641.45,11621.27,781.33,2040.04,163.35,35.46
Banggai,2021,18231.97,12025.12,1191.41,4794.73,193.39,27.32
Morowali,2021,29180.5,26515.85,1381.91,1210.57,72.17,0.0
Poso,2021,16522.29,14367.64,942.65,1183.6,4.77,23.64
Donggala,2021,19244.69,16348.07,924.89,1757.35,164.98,49.4
Toli-Toli,2021,17151.49,14434.26,1045.11,1615.41,42.22,14.49
Buol,2021,19860.66,18560.62,1149.31,44.99,95.23,10.52
Parigi Moutong,2021,21141.54,18514.84,918.5,1431.88,271.02,5.3
Tojo Una-Una,2021,23833.8,22456.65,925.45,187.24,264.47,0.0
Sigi,2021,17383.75,16003.31,366.72,971.82,41.91,0.0
Banggai Laut,2021,21447.12,19187.57,1130.14,1049.59,79.83,0.0
Morowali Utara,2021,23146.99,21707.07,275.16,1004.37,160.4,0.0
Kota Palu,2021,17966.25,14989.08,286.43,2585.56,2.65,102.54
Kepulauan Selayar,2021,16049.46,14000.72,807.74,706.63,468.37,66.01
Bulukumba,2021,12551.12,9534.15,1931.21,925.86,152.72,7.17
Bantaeng,2021,18713.86,15620.02,745.5,1860.02,486.43,1.89
Jeneponto,2021,15809.12,14278.17,698.0,432.61,394.53,5.82
Takalar,2021,13610.72,13171.01,80.49,316.27,42.95,0.0
Gowa,2021,17487.49,15377.91,1125.15,615.78,368.65,0.0
Sinjai,2021,14816.34,12304.23,988.88,777.18,549.7,196.35
Maros,2021,16406.59,13381.89,567.51,2396.05,61.14,0.0
Pangkajene dan Kepulauan,2021,17822.03,17164.75,468.68,183.03,5.56,0.0
Barru,2021,16402.37,12847.47,232.57,3318.25,4.08,0.0
Bone,2021,15711.32,14286.56,644.4,557.94,205.02,17.4
Soppeng,2021,14365.66,12041.17,570.0,1726.44,2.56,25.48
Wajo,2021,15743.46,13481.26,62.27,2181.9,18.02,0.0
Sidenreng Rappang,2021,20180.51,18265.77,1556.38,341.63,0.0,16.73
Pinrang,2021,15774.46,15045.14,236.76,482.42,0.0,10.14
Enrekang,2021,13891.89,11921.39,359.64,1585.38,19.45,6.03
Luwu,2021,16882.33,16398.94,131.54,320.67,27.73,3.45
Tana Toraja,2021,12648.74,10739.52,1584.6,289.61,13.13,21.88
Luwu Utara,2021,25189.38,24551.3,511.24,20.55,50.3,55.98
Luwu Timur,2021,19404.36,17683.16,290.57,1324.01,22.53,84.08
Toraja Utara,2021,12411.85,11675.19,113.13,461.96,49.49,112.09
Kota Makasar,2021,12862.7,10797.97,129.52,1896.26,0.0,38.94
Kota Parepare,2021,16142.48,15328.56,327.81,486.12,0.0,0.0
Kota Palopo,2021,17848.56,16290.57,382.18,1136.6,35.26,3.95
Buton,2021,8735.67,7449.83,437.6,686.56,161.68,0.0
Muna,2021,8965.28,8045.22,244.09,599.81,76.16,0.0
Konawe,2021,17877.38,15500.37,289.35,2007.6,66.9,13.16
Kolaka,2021,18848.32,13237.85,189.09,5272.79,137.12,11.48
Konawe Selatan,2021,16738.45,14673.32,812.78,927.14,241.9,83.31
Bombana,2021,22584.99,20711.91,647.95,956.39,219.87,48.88
Wakatobi,2021,11631.23,9760.33,427.21,1369.59,74.1,0.0
Kolaka Utara,2021,21332.32,20801.17,152.49,325.49,24.04,29.13
Buton Utara,2021,11424.38,10232.33,290.35,789.71,112.0,0.0
Konawe Utara,2021,22610.75,21438.6,480.8,593.22,72.29,25.85
Kolaka Timur,2021,17643.83,15119.29,1461.06,966.09,93.23,4.15
Konawe Kepulauan,2021,17782.01,15017.51,1209.12,1510.67,44.72,0.0
Muna Barat,2021,13046.15,12245.18,706.29,35.37,46.09,13.22
Buton Tengah,2021,4230.98,4091.16,43.75,61.64,34.42,0.0
Buton Selatan,2021,7197.03,6022.29,244.69,896.33,33.73,0.0
Kota Kendari,2021,16474.68,12452.0,1235.08,2787.6,0.0,0.0
Kota Baubau,2021,11569.91,9461.31,1251.08,857.52,0.0,0.0
Boalemo,2021,13979.12,12363.33,131.5,451.8,660.38,372.12
Gorontalo,2021,15000.44,12504.22,1088.2,647.71,543.71,216.6
Pohuwato,2021,19608.21,18125.72,177.84,879.03,252.55,173.07
Bone Bolango,2021,14143.3,12242.48,743.77,776.87,351.37,28.8
Gorontalo Utara,2021,16274.67,11960.68,53.76,2694.54,743.57,822.13
Kota Gorontalo,2021,17133.29,15928.39,391.17,782.43,7.7,23.6
Majene,2021,12712.89,11106.26,1033.15,566.12,7.36,0.0
Polewali Mandar,2021,13736.4,12203.17,314.33,1203.85,4.41,10.64
Mamasa,2021,11321.82,10292.51,937.66,43.68,47.05,0.94
Mamuju,2021,19221.49,18025.15,705.34,414.13,76.86,0.0
Mamuju Utara,2021,23289.22,21557.25,571.19,1060.54,59.75,40.49
Mamuju Tengah,2021,20239.85,18879.72,989.05,325.94,24.21,20.94
Maluku Tenggara Barat,2021,11406.83,8532.3,604.07,1189.77,929.92,150.77
Maluku Tenggara,2021,9365.54,7807.07,941.63,243.36,328.36,45.12
Maluku Tengah,2021,13430.93,11015.02,724.06,1256.18,366.99,68.68
Buru,2021,17773.67,14726.11,1555.73,402.18,956.37,133.26
Kepulauan Aru,2021,16895.4,15390.97,241.22,193.85,993.11,76.25
Seram Bagian Barat,2021,11152.07,8756.18,899.75,422.9,1049.66,23.59
Seram Bagian Timur,2021,14601.01,11899.4,507.77,413.13,1709.01,71.7
Maluku Barat Daya,2021,11551.36,9484.25,709.98,280.17,948.77,128.2
Buru Selatan,2021,11518.26,8249.38,199.47,1032.59,1767.42,269.39
Kota Ambon,2021,15040.97,11302.95,932.22,2775.11,4.8,25.89
Kota Tual,2021,12095.1,9992.81,763.26,1232.2,81.82,25.0
Halmahera Barat,2021,12465.74,11369.23,119.06,420.82,442.13,114.5
Halmahera Tengah,2021,27203.31,23765.99,747.15,587.46,877.88,1224.83
Kepulauan Sula,2021,18664.24,16798.35,477.17,323.33,780.86,284.52
Halmahera Selatan,2021,21227.14,17398.77,1068.57,1029.48,1466.99,263.32
Halmahera Utara,2021,17157.95,14509.14,1048.68,1308.65,227.6,63.88
Halmahera Timur,2021,19627.87,15326.27,363.05,2533.42,1199.38,205.75
Pulau Morotai,2021,19951.99,18307.08,811.37,57.79,573.04,202.71
Pulau Taliabu,2021,16741.61,14502.67,434.87,584.75,1192.88,26.44
Kota Ternate,2021,22881.53,21063.1,766.31,991.12,7.32,53.69
Kota Tidore Kepulauan,2021,22658.01,20134.84,1844.96,147.13,65.65,465.42
Fakfak,2021,28195.92,24815.86,480.93,853.35,366.34,1679.45
Kaimana,2021,19849.53,16371.2,1597.03,570.81,171.25,1139.24
Teluk Wondama,2021,41964.73,29022.9,227.77,214.04,323.5,12176.51
Teluk Bintuni,2021,31784.5,28808.26,0.0,1057.99,82.34,1835.9
Manokwari,2021,23074.81,17046.15,358.64,3318.88,82.62,2268.52
Manokwari Selatan,2021,17670.27,12697.51,259.43,1966.06,114.5,2632.76
Pegunungan Arfak,2021,7126.83,5989.43,399.2,493.49,89.98,154.74
Raja Ampat,2021,29101.5,20749.18,608.21,578.71,244.19,6921.21
Sorong,2021,25175.56,21157.7,1568.1,1295.53,530.89,623.34
Sorong Selatan,2021,15730.5,13558.26,446.81,147.46,431.14,1146.82
Maybrat,2021,21352.12,17958.61,1095.86,563.79,63.99,1669.88
Tambrauw,2021,32165.4,22748.77,18.02,271.02,70.57,9057.02
Kota Sorong,2021,19895.37,17311.83,218.46,2123.32,0.47,241.29
Jayapura,2021,21121.68,14458.83,902.81,1363.85,9.39,4386.79
Kepulauan Yapen,2021,19232.82,13048.45,178.21,877.51,135.37,4993.28
Biak Numfor,2021,16433.02,8454.9,239.97,131.62,7.22,7599.3
Sarmi,2021,20326.82,14440.71,18.8,508.68,60.72,5297.91
Keerom,2021,25088.96,19133.32,2469.77,1643.96,253.81,1588.1
Waropen,2021,19340.07,11967.25,512.54,769.27,143.6,5947.41
Supiori,2021,15602.5,10099.68,0.0,209.76,19.98,5273.08
Mamberamo Raya,2021,19990.6,10866.6,0.0,681.74,29.19,8413.09
Kota Jayapura,2021,16686.14,12343.8,513.88,3409.18,24.07,395.21
Merauke,2021,25409.43,21185.91,946.22,1723.85,155.99,1397.46
Boven Digoel,2021,19985.61,15974.68,214.61,3276.05,400.44,119.83
Mappi,2021,15034.4,10121.09,667.26,2129.49,1060.19,1056.38
Asmat,2021,19705.09,14430.64,1182.13,259.51,3492.93,339.88
Mimika,2021,24040.7,21934.81,1363.13,351.61,15.99,375.15
Dogiyai,2021,2006.85,1830.58,57.72,0.0,0.0,118.55
Deiyai,2021,4893.3,4893.3,0.0,0.0,0.0,0.0
Nabire,2021,26972.48,22723.3,704.69,2346.13,15.2,1183.16
Paniai,2021,6131.69,6131.69,0.0,0.0,0.0,0.0
Intan Jaya,2021,9433.77,6524.41,201.59,2707.77,0.0,0.0
Puncak,2021,8173.99,6788.61,47.07,1338.31,0.0,0.0
Puncak Jaya,2021,78460.31,40952.08,34884.63,2623.6,0.0,0.0
Nduga,2021,24785.24,712.79,19216.72,686.3,3342.17,827.26
Jayawijaya,2021,13767.94,12033.54,1535.8,179.61,8.71,10.29
Lanny Jaya,2021,36093.47,31509.84,426.55,0.0,127.25,4029.83
Tolikara,2021,6909.72,5818.3,71.4,731.72,0.0,288.3
Mamberamo Tengah,2021,8202.9,4526.52,3462.95,0.0,0.0,213.43
Yalimo,2021,17731.74,9899.94,6241.34,479.72,969.61,141.13
Yahukimo,2021,2004.81,1444.39,343.9,0.0,176.48,40.04
Pegunungan Bintang,2021,9473.61,9458.93,0.0,0.0,5.8,8.88
Simeulue,2022,21224.32,13699.32,4066.1,3458.91,0.0,0.0
Aceh Singkil,2022,20336.85,18273.21,1963.55,0.0,60.55,39.55
Aceh Selatan,2022,25418.42,16745.28,6544.21,1922.83,116.04,90.06
Aceh Tenggara,2022,22941.6,14103.02,8245.46,507.7,5.55,79.88
Aceh Timur,2022,28301.91,23416.62,4587.86,257.13,30.11,10.2
Aceh Tengah,2022,25063.9,12076.98,11578.85,1365.63,42.44,0.0
Aceh Barat,2022,29389.57,19716.92,5933.72,3303.33,364.63,70.98
Aceh Besar,2022,15647.48,10303.89,4072.05,1132.55,86.78,52.21
Pidie,2022,19162.55,14412.03,3819.53,923.67,6.04,1.28
Bireuen,2022,19287.21,14414.29,4709.34,146.37,17.21,0.0
Aceh Utara,2022,16148.91,11688.78,3938.82,497.18,24.13,0.0
Aceh Barat Daya,2022,24442.14,19869.91,4325.77,7.41,200.98,38.08
Gayo Lues,2022,21901.07,15967.19,4524.49,1015.32,285.55,108.51
Aceh Tamiang,2022,17014.34,15161.25,1011.49,824.48,17.12,0.0
Nagan Raya,2022,33069.53,24017.77,6752.53,1810.87,397.83,90.53
Aceh Jaya,2022,28988.15,19010.84,7833.93,1687.56,280.84,174.99
Bener Meriah,2022,21471.99,15813.84,5059.05,564.04,35.06,0.0
Pidie Jaya,2022,21658.21,14012.35,7127.6,517.12,1.15,0.0
Kota Banda Aceh,2022,16325.36,13833.77,1581.99,798.24,24.04,87.32
Kota Sabang,2022,25990.92,21133.6,3599.18,1083.14,163.55,11.44
